29.0	66.18	3187.26	3215.85	1924.12	294.16	35.06	200.12	104.31	66.48	50.09	4.9174	0.5172	0.5030	0.4970	3250.91
29.5	67.20	3142.30	3170.35	1926.02	294.16	35.60	198.56	102.75	66.19	49.64	4.9267	0.5196	0.5035	0.4965	3205.95
30.0	68.22	3097.34	3124.86	1927.92	294.16	36.14	197.00	101.20	65.90	49.19	4.9360	0.5220	0.5040	0.4960	3160.99
30.5	69.23	3066.36	3093.34	1929.49	293.18	36.67	196.00	100.20	65.62	48.67	4.9453	0.5244	0.5043	0.4957	3130.01
31.0	70.23	3035.38	3061.83	1931.06	292.21	37.20	195.00	99.20	65.35	48.15	4.9546	0.5268	0.5046	0.4954	3099.03
31.5	71.23	3004.39	3030.31	1932.63	291.24	37.73	194.00	98.20	65.07	47.63	4.9639	0.5292	0.5049	0.4951	3068.04
32.0	72.24	2973.41	2998.80	1934.20	290.27	38.26	193.00	97.20	64.80	47.11	4.9732	0.5316	0.5052	0.4948	3037.06
32.5	73.24	2942.43	2967.29	1935.77	289.29	38.79	192.00	96.21	64.53	46.59	4.9825	0.5340	0.5055	0.4945	3006.08
33.0	74.24	2911.44	2935.77	1937.34	288.32	39.32	191.00	95.21	64.25	46.07	4.9918	0.5364	0.5058	0.4942	2975.09
33.5	75.25	2880.46	2904.26	1938.91	287.35	39.85	190.00	94.21	63.98	45.55	5.0011	0.5388	0.5061	0.4939	2944.11
34.0	76.25	2849.47	2872.75	1940.48	286.38	40.38	189.00	93.21	63.70	45.03	5.0104	0.5412	0.5064	0.4936	2913.13
34.5	77.26	2818.49	2841.23	1942.05	285.41	40.91	188.00	92.21	63.43	44.52	5.0197	0.5436	0.5067	0.4933	2882.14
35.0	78.26	2787.51	2809.72	1943.62	284.43	41.44	187.00	91.21	63.15	44.00	5.0290	0.5460	0.5070	0.4930	2851.16
35.5	79.24	2767.16	2788.85	1945.15	281.14	41.96	186.37	90.59	62.87	43.26	5.0393	0.5486	0.5058	0.4942	2830.81
36.0	80.23	2746.81	2767.98	1946.67	277.84	42.49	185.74	89.96	62.59	42.52	5.0496	0.5512	0.5046	0.4954	2810.46
36.5	81.21	2726.46	2747.11	1948.20	274.54	43.01	185.11	89.33	62.31	41.78	5.0599	0.5538	0.5034	0.4966	2790.12
37.0	82.20	2706.12	2726.24	1949.73	271.24	43.53	184.48	88.71	62.03	41.05	5.0702	0.5564	0.5022	0.4978	2769.77
37.5	83.18	2685.77	2705.37	1951.26	267.94	44.05	183.85	88.08	61.75	40.31	5.0805	0.5590	0.5010	0.4990	2749.42
38.0	84.17	2665.42	2684.50	1952.78	264.65	44.57	183.22	87.45	61.46	39.57	5.0908	0.5616	0.4998	0.5002	2729.07
38.5	85.15	2645.07	2663.63	1954.31	261.35	45.10	182.59	86.83	61.18	38.83	5.1011	0.5642	0.4986	0.5014	2708.72
39.0	86.14	2624.72	2642.76	1955.84	258.05	45.62	181.96	86.20	60.90	38.10	5.1114	0.5668	0.4974	0.5026	2688.38
39.5	87.12	2604.38	2621.89	1957.36	254.75	46.14	181.33	85.57	60.62	37.36	5.1217	0.5694	0.4962	0.5038	2668.03
40.0	88.11	2584.03	2601.02	1958.89	251.45	46.66	180.70	84.94	60.34	36.62	5.1320	0.5720	0.4950	0.5050	2647.68
40.5	89.09	2563.68	2580.15	1960.42	248.16	47.18	180.07	84.32	60.06	35.88	5.1423	0.5746	0.4938	0.5062	2627.33
41.0	90.07	2543.33	2559.28	1961.95	244.86	47.70	179.44	83.69	59.78	35.15	5.1526	0.5772	0.4926	0.5074	2606.98
41.5	91.06	2522.98	2538.41	1963.47	241.56	48.23	178.81	83.06	59.49	34.41	5.1629	0.5798	0.4914	0.5086	2586.63
42.0	92.04	2502.63	2517.54	1965.00	238.26	48.75	178.18	82.44	59.21	33.67	5.1732	0.5824	0.4902	0.5098	2566.29
42.5	93.03	2482.29	2496.67	1966.53	234.96	49.27	177.55	81.81	58.93	32.93	5.1835	0.5850	0.4890	0.5110	2545.94
43.0	94.01	2461.94	2475.80	1968.06	231.67	49.79	176.92	81.18	58.65	32.20	5.1938	0.5876	0.4878	0.5122	2525.59
43.5	95.00	2441.59	2454.93	1969.58	228.37	50.31	176.29	80.56	58.37	31.46	5.2041	0.5902	0.4866	0.5134	2505.24
44.0	95.98	2421.24	2434.06	1971.11	225.07	50.84	175.66	79.93	58.09	30.72	5.2144	0.5928	0.4854	0.5146	2484.89
44.5	96.97	2400.89	2413.19	1972.64	221.77	51.36	175.03	79.30	57.81	29.98	5.2247	0.5954	0.4842	0.5158	2464.55
45.0	97.95	2380.55	2392.32	1974.17	218.47	51.88	174.40	78.67	57.53	29.25	5.2350	0.5980	0.4830	0.5170	2444.20
45.5	98.94	2360.20	2371.45	1975.69	215.18	52.40	173.77	78.05	57.24	28.51	5.2453	0.6006	0.4818	0.5182	2423.85
46.0	99.92	2339.85	2350.58	1977.22	211.88	52.92	173.14	77.42	56.96	27.77	5.2556	0.6032	0.4806	0.5194	2403.50
46.5	100.90	2319.50	2329.71	1978.75	208.58	53.45	172.51	76.79	56.68	27.03	5.2659	0.6058	0.4794	0.5206	2383.15
47.0	101.89	2299.15	2308.84	1980.27	205.28	53.97	171.88	76.17	56.40	26.30	5.2762	0.6084	0.4782	0.5218	2362.81
47.5	102.87	2278.81	2287.97	1981.80	201.98	54.49	171.25	75.54	56.12	25.56	5.2865	0.6110	0.4770	0.5230	2342.46
48.0	103.86	2258.46	2267.10	1983.33	198.69	55.01	170.62	74.91	55.84	24.82	5.2968	0.6136	0.4758	0.5242	2322.11
48.5	104.84	2238.11	2246.23	1984.86	195.39	55.53	169.99	74.29	55.56	24.08	5.3071	0.6162	0.4746	0.5254	2301.76
49.0	105.83	2217.76	2225.36	1986.38	192.09	56.06	169.36	73.66	55.27	23.35	5.3174	0.6188	0.4734	0.5266	2281.41
49.5	106.81	2197.41	2204.49	1987.91	188.79	56.58	168.73	73.03	54.99	22.61	5.3277	0.6214	0.4722	0.5278	2261.07
50.0	107.80	2177.07	2183.62	1989.44	185.49	57.10	168.10	72.40	54.71	21.87	5.3380	0.6240	0.4710	0.5290	2240.72
